budget,tiers,model,n_runs,n_params,qr_rank,estimable,residual_df
80,1,main_effects,80,15,15,TRUE,65
80,1,two_fi,80,91,68,FALSE,12
80,1,three_fi,80,289,80,FALSE,0
85,"1,2",main_effects,85,15,15,TRUE,70
85,"1,2",two_fi,85,91,72,FALSE,13
85,"1,2",three_fi,85,289,85,FALSE,0
90,"1,2",main_effects,90,15,15,TRUE,75
90,"1,2",two_fi,90,91,72,FALSE,18
90,"1,2",three_fi,90,289,90,FALSE,0
95,"1,2",main_effects,95,15,15,TRUE,80
95,"1,2",two_fi,95,91,72,FALSE,23
95,"1,2",three_fi,95,289,95,FALSE,0
100,"1,2",main_effects,100,15,15,TRUE,85
100,"1,2",two_fi,100,91,72,FALSE,28
100,"1,2",three_fi,100,289,100,FALSE,0
105,"1,2",main_effects,105,15,15,TRUE,90
105,"1,2",two_fi,105,91,72,FALSE,33
105,"1,2",three_fi,105,289,105,FALSE,0
110,"1,2",main_effects,110,15,15,TRUE,95
110,"1,2",two_fi,110,91,72,FALSE,38
110,"1,2",three_fi,110,289,110,FALSE,0
115,"1,2,4",main_effects,115,15,15,TRUE,100
115,"1,2,4",two_fi,115,91,75,FALSE,40
115,"1,2,4",three_fi,115,289,115,FALSE,0
120,"1,2,4",main_effects,120,15,15,TRUE,105
120,"1,2,4",two_fi,120,91,78,FALSE,42
120,"1,2,4",three_fi,120,289,120,FALSE,0
125,"1,2,4",main_effects,125,15,15,TRUE,110
125,"1,2,4",two_fi,125,91,80,FALSE,45
125,"1,2,4",three_fi,125,289,125,FALSE,0
130,"1,2,4,5",main_effects,130,15,15,TRUE,115
130,"1,2,4,5",two_fi,130,91,83,FALSE,47
130,"1,2,4,5",three_fi,130,289,130,FALSE,0
135,"1,2,4,5",main_effects,135,15,15,TRUE,120
135,"1,2,4,5",two_fi,135,91,85,FALSE,50
135,"1,2,4,5",three_fi,135,289,135,FALSE,0
140,"1,2,4,5",main_effects,140,15,15,TRUE,125
140,"1,2,4,5",two_fi,140,91,87,FALSE,53
140,"1,2,4,5",three_fi,140,289,140,FALSE,0
145,"1,2,4,5",main_effects,145,15,15,TRUE,130
145,"1,2,4,5",two_fi,145,91,91,TRUE,54
145,"1,2,4,5",three_fi,145,289,145,FALSE,0
150,"1,2,4,5",main_effects,150,15,15,TRUE,135
150,"1,2,4,5",two_fi,150,91,91,TRUE,59
150,"1,2,4,5",three_fi,150,289,150,FALSE,0
155,"1,2,4,5",main_effects,155,15,15,TRUE,140
155,"1,2,4,5",two_fi,155,91,91,TRUE,64
155,"1,2,4,5",three_fi,155,289,155,FALSE,0
160,"1,2,4,5",main_effects,160,15,15,TRUE,145
160,"1,2,4,5",two_fi,160,91,91,TRUE,69
160,"1,2,4,5",three_fi,160,289,160,FALSE,0
165,"1,2,4,5",main_effects,165,15,15,TRUE,150
165,"1,2,4,5",two_fi,165,91,91,TRUE,74
165,"1,2,4,5",three_fi,165,289,165,FALSE,0
170,"1,2,4,5",main_effects,170,15,15,TRUE,155
170,"1,2,4,5",two_fi,170,91,91,TRUE,79
170,"1,2,4,5",three_fi,170,289,170,FALSE,0
175,"1,2,4,5",main_effects,175,15,15,TRUE,160
175,"1,2,4,5",two_fi,175,91,91,TRUE,84
175,"1,2,4,5",three_fi,175,289,175,FALSE,0
180,"1,2,4,5",main_effects,180,15,15,TRUE,165
180,"1,2,4,5",two_fi,180,91,91,TRUE,89
180,"1,2,4,5",three_fi,180,289,180,FALSE,0
185,"1,2,4,5",main_effects,185,15,15,TRUE,170
185,"1,2,4,5",two_fi,185,91,91,TRUE,94
185,"1,2,4,5",three_fi,185,289,185,FALSE,0
190,"1,2,4,5",main_effects,190,15,15,TRUE,175
190,"1,2,4,5",two_fi,190,91,91,TRUE,99
190,"1,2,4,5",three_fi,190,289,190,FALSE,0
195,"1,2,4,5",main_effects,195,15,15,TRUE,180
195,"1,2,4,5",two_fi,195,91,91,TRUE,104
195,"1,2,4,5",three_fi,195,289,195,FALSE,0
200,"1,2,4,5",main_effects,200,15,15,TRUE,185
200,"1,2,4,5",two_fi,200,91,91,TRUE,109
200,"1,2,4,5",three_fi,200,289,200,FALSE,0
205,"1,2,4,5",main_effects,205,15,15,TRUE,190
205,"1,2,4,5",two_fi,205,91,91,TRUE,114
205,"1,2,4,5",three_fi,205,289,205,FALSE,0
210,"1,2,4,5",main_effects,210,15,15,TRUE,195
210,"1,2,4,5",two_fi,210,91,91,TRUE,119
210,"1,2,4,5",three_fi,210,289,210,FALSE,0
215,"1,2,4,5",main_effects,215,15,15,TRUE,200
