id,tier,source,n_studies,sample_sizes,effect_sizes,heterogeneity,stat_sig_re
1,1,base,15,mix,0.5,large,no
2,1,base,10,51-100,0.5,medium,no
3,1,base,10,100-1000,1,small,no
4,1,base,15,20-50,1,none,no
5,1,base,5,20-50,2,medium,no
6,1,base,20,100-1000,2,large,no
7,1,base,5,20-50,0.67,small,no
9,1,base,20,51-100,1.5,none,no
10,1,base,5,mix,1.5,small,no
11,1,base,15,mix,1,large,no
12,1,base,10,51-100,1,medium,no
13,1,base,15,mix,2,none,no
14,1,base,10,51-100,2,small,no
16,1,base,15,20-50,2,none,no
17,1,base,20,51-100,0.5,large,no
18,1,base,5,mix,0.5,medium,no
19,1,base,5,20-50,1,medium,no
20,1,base,20,100-1000,1,large,no
21,1,base,5,20-50,1.5,medium,no
22,1,base,20,100-1000,1.5,large,no
24,1,base,5,mix,2,small,no
25,1,base,15,mix,1.5,large,no
26,1,base,10,51-100,1.5,medium,no
27,1,base,15,mix,0.67,none,no
28,1,base,10,51-100,0.67,small,no
30,1,base,15,20-50,0.5,large,no
31,1,base,20,51-100,0.67,large,no
32,1,base,5,mix,0.67,medium,no
34,1,base,15,20-50,1.5,none,no
35,1,base,5,20-50,0.5,small,no
37,1,base,20,51-100,1,none,no
38,1,base,5,mix,1,small,no
40,1,base,15,20-50,0.67,large,no
41,1,base,5,51-100,0.67,none,yes
42,1,base,20,mix,0.67,small,yes
44,1,base,10,20-50,1,large,yes
45,1,base,10,mix,0.5,large,yes
46,1,base,15,51-100,0.5,medium,yes
47,1,base,5,51-100,1.5,large,yes
48,1,base,20,mix,1.5,medium,yes
49,1,base,15,100-1000,0.67,small,yes
50,1,base,10,20-50,0.67,none,yes
51,1,base,5,51-100,0.5,none,yes
52,1,base,20,mix,0.5,small,yes
53,1,base,20,20-50,0.67,medium,yes
54,1,base,5,100-1000,0.67,large,yes
55,1,base,20,20-50,1.5,small,yes
56,1,base,5,100-1000,1.5,none,yes
58,1,base,10,20-50,2,large,yes
59,1,base,10,mix,1.5,none,yes
60,1,base,15,51-100,1.5,small,yes
61,1,base,10,mix,1,none,yes
62,1,base,15,51-100,1,small,yes
63,1,base,15,100-1000,0.5,small,yes
64,1,base,10,20-50,0.5,none,yes
65,1,base,5,51-100,2,large,yes
66,1,base,20,mix,2,medium,yes
67,1,base,20,20-50,2,medium,yes
68,1,base,5,100-1000,2,large,yes
69,1,base,20,20-50,1,small,yes
70,1,base,5,100-1000,1,none,yes
72,1,base,10,20-50,1.5,large,yes
73,1,base,10,mix,0.67,large,yes
74,1,base,15,51-100,0.67,medium,yes
75,1,base,10,mix,2,none,yes
76,1,base,15,51-100,2,small,yes
77,1,base,5,51-100,1,large,yes
78,1,base,20,mix,1,medium,yes
79,1,base,20,20-50,0.5,small,yes
80,1,base,5,100-1000,0.5,none,yes
81,2,foldover,10,20-50,2,none,yes
82,2,foldover,15,100-1000,2,small,yes
83,2,foldover,15,51-100,1,medium,yes
84,2,foldover,10,mix,1,large,yes
85,2,foldover,10,20-50,1,none,yes
86,2,foldover,15,100-1000,1,small,yes
87,2,foldover,10,20-50,0.5,large,yes
89,2,foldover,5,100-1000,2,none,yes
90,2,foldover,20,20-50,2,small,yes
91,2,foldover,20,mix,1,small,yes
92,2,foldover,5,51-100,1,none,yes
93,2,foldover,5,100-1000,0.5,large,yes
94,2,foldover,20,20-50,0.5,medium,yes
95,2,foldover,5,100-1000,1,large,yes
96,2,foldover,20,20-50,1,medium,yes
97,2,foldover,10,51-100,1,small,no
98,2,foldover,15,mix,1,none,no
99,2,foldover,10,51-100,0.5,small,no
100,2,foldover,15,mix,0.5,none,no
101,2,foldover,15,20-50,1,large,no
103,2,foldover,10,51-100,2,medium,no
104,2,foldover,15,mix,2,large,no
105,2,foldover,5,mix,0.5,small,no
106,2,foldover,20,51-100,0.5,none,no
107,2,foldover,5,mix,1,medium,no
108,2,foldover,20,51-100,1,large,no
109,2,foldover,20,100-1000,1,none,no
110,2,foldover,5,20-50,1,small,no
111,2,foldover,5,mix,2,medium,no
112,2,foldover,20,51-100,2,large,no
113,4,augment,5,mix,0.5,none,no
114,4,augment,5,mix,2,large,no
115,4,augment,20,mix,0.5,none,yes
116,4,augment,5,20-50,0.5,large,yes
117,4,augment,20,20-50,1,none,no
118,4,augment,20,mix,1,large,no
119,4,augment,20,20-50,0.67,none,no
120,4,augment,20,20-50,0.5,large,no
121,4,augment,5,mix,1.5,none,yes
122,4,augment,5,mix,1.5,large,no
123,4,augment,20,mix,0.67,large,no
124,4,augment,5,20-50,2,large,yes
125,4,augment,5,20-50,0.67,large,no
126,4,augment,5,20-50,0.67,large,yes
127,4,augment,20,mix,1,none,no
128,5,filler,15,20-50,0.67,none,no
129,5,filler,5,51-100,1.5,none,no
130,5,filler,10,20-50,1.5,small,yes
131,5,filler,15,100-1000,2,large,no
132,5,filler,5,51-100,0.5,large,yes
133,5,filler,5,mix,2,none,yes
134,5,filler,15,20-50,2,none,yes
135,5,filler,15,20-50,2,medium,no
